RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d04418,GLUCOSAMINE,1.0,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,,,,,,
d04425,DEHYDROEPIANDROSTERONE,1.0,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,,,,,,
d04427,LEVALBUTEROL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d04429,ORLISTAT,1.0,358.0,359.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,359.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,PERIPHERALLY ACTING ANTIOBESITY AGENTS,,,,,,,,,,,METABOLIC AGENTS,PERIPHERALLY ACTING ANTIOBESITY AGENTS,,,,,,,,,,,,,,,,
d04433,ROFECOXIB,1.0,57.0,58.0,278.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,278.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,COX-2 INHIBITORS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,COX-2 INHIBITORS,,,,,,,,,,,,,,,
d04434,ROSIGLITAZONE,1.0,358.0,99.0,271.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,271.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,,,,,,
d04436,MALATHION TOPICAL,1.0,133.0,136.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,136.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTI-INFECTIVES,,,,,,,,,,,,,,,
d04440,PERINDOPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d04441,KETOTIFEN OPHTHALMIC,1.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d04442,PIOGLITAZONE,1.0,358.0,99.0,271.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,271.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,,,,,,
d04445,CARBETAPENTANE; CHLORPHENIRAMINE; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d04446,PHENYLEPHRINE; PYRILAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,67.0,70.0,122.0,123.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d04448,RABEPRAZOLE,1.0,87.0,272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,,,,,,,,,,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,,,,,,,,,,,,,,,
d04452,ZALEPLON,1.0,57.0,67.0,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,67.0,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,,,,,,,,,,,,,,,
d04453,SIROLIMUS,1.0,254.0,104.0,444.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.0,104.0,444.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,,,,,,,,,
d04459,DOFETILIDE,1.0,40.0,46.0,387.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,46.0,387.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP III ANTIARRHYTHMICS,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP III ANTIARRHYTHMICS,,,,,,,,,,,,,,,
d04460,ENTACAPONE,1.0,57.0,66.0,276.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,66.0,276.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,DOPAMINERGIC ANTIPARKINSONISM AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,DOPAMINERGIC ANTIPARKINSONISM AGENTS,,,,,,,,,,,,,,,
d04461,EXEMESTANE,1.0,20.0,24.0,nan,97.0,423.0,nan,nan,nan,nan,nan,nan,nan,20.0,24.0,nan,97.0,423.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,AROMATASE INHIBITORS,,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,AROMATASE INHIBITORS,,,,,,,,,,,,,
d04462,OSELTAMIVIR,1.0,1.0,7.0,281.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,281.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NEURAMINIDASE INHIBITORS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NEURAMINIDASE INHIBITORS,,,,,,,,,,,,,,,
d04497,ASPIRIN; DIPYRIDAMOLE,2.0,81.0,83.0,211.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,62.0,81.0,83.0,211.0,331.0,332.0,374.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,COAGULATION MODIFIERS,ANTIPLATELET AGENTS,PLATELET AGGREGATION INHIBITORS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,COAGULATION MODIFIERS,ANTIPLATELET AGENTS,PLATELET AGGREGATION INHIBITORS,RADIOLOGIC AGENTS,RADIOLOGIC ADJUNCTS,CARDIAC STRESSING AGENTS,,,,,,,,,
d04499,LEVETIRACETAM,1.0,57.0,64.0,350.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,64.0,350.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,PYRROLIDINE ANTICONVULSANTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,PYRROLIDINE ANTICONVULSANTS,,,,,,,,,,,,,,,
d04500,MOXIFLOXACIN,1.0,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,,,,,,
d04504,GATIFLOXACIN,1.0,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,,,,,,
d04506,ESTRADIOL; NORGESTIMATE,2.0,97.0,101.0,186.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,97.0,101.0,185.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,SEX HORMONE COMBINATIONS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,,,,,,,
d04509,HYDROCHLOROTHIAZIDE; QUINAPRIL,2.0,40.0,55.0,467.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,40.0,49.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ACE INHIBITORS WITH THIAZIDES,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,
d04510,INSULIN LISPRO; INSULIN LISPRO PROTAMINE,2.0,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,,,,,,
d04512,CEVIMELINE,1.0,57.0,312.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,312.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINERGIC AGONISTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINERGIC AGONISTS,,,,,,,,,,,,,,,,
d04513,OXCARBAZEPINE,1.0,57.0,64.0,311.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,64.0,311.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,DIBENZAZEPINE ANTICONVULSANTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,DIBENZAZEPINE ANTICONVULSANTS,,,,,,,,,,,,,,,
d04514,PANTOPRAZOLE,1.0,87.0,272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,,,,,,,,,,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,,,,,,,,,,,,,,,
d04523,UBIQUINONE,1.0,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,218.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,,,,,,
d04527,ZONISAMIDE,1.0,57.0,64.0,351.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,64.0,351.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,CARBONIC ANHYDRASE INHIBITOR ANTICONVULSANTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,CARBONIC ANHYDRASE INHIBITOR ANTICONVULSANTS,,,,,,,,,,,,,,,
d04532,MELOXICAM,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d04537,RIVASTIGMINE,1.0,57.0,313.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,313.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINESTERASE INHIBITORS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINESTERASE INHIBITORS,,,,,,,,,,,,,,,,
d04538,INSULIN GLARGINE,1.0,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,,,,,,
d04539,FOSINOPRIL; HYDROCHLOROTHIAZIDE,2.0,40.0,55.0,467.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,40.0,49.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ACE INHIBITORS WITH THIAZIDES,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,
d04541,AZELASTINE OPHTHALMIC,1.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d04547,ATOVAQUONE; PROGUANIL,2.0,1.0,5.0,328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,5.0,239.0,1.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,ANTIMALARIAL COMBINATIONS,,,,,,,,,,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,MISCELLANEOUS ANTIMALARIALS,ANTI-INFECTIVES,MISCELLANEOUS ANTIBIOTICS,,,,,,,,,,,,,
d04557,CLOBAZAM,1.0,57.0,64.0,203.0,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,57.0,64.0,203.0,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,BENZODIAZEPINE ANTICONVULSANTS,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,BENZODIAZEPINE ANTICONVULSANTS,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,,,,,,
d04572,FORMOTEROL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d04597,TETRABENAZINE,1.0,57.0,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,MISCELLANEOUS CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,MISCELLANEOUS CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,,,,,,
d04611,FLUTICASONE; SALMETEROL,2.0,122.0,125.0,181.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,122.0,130.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,BRONCHODILATOR COMBINATIONS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,,,
d04695,COLESEVELAM,1.0,358.0,19.0,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,19.0,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,,,,,,
d04697,INSULIN ASPART,1.0,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,,,,,,
d04700,BALSALAZIDE,1.0,87.0,277.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,277.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,5-AMINOSALICYLATES,,,,,,,,,,,GASTROINTESTINAL AGENTS,5-AMINOSALICYLATES,,,,,,,,,,,,,,,,
d04703,GLYBURIDE; METFORMIN,2.0,358.0,99.0,314.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,213.0,358.0,99.0,214.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ANTIDIABETIC COMBINATIONS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,SULFONYLUREAS,METABOLIC AGENTS,ANTIDIABETIC AGENTS,BIGUANIDES,,,,,,,,,,,,
d04707,LEVOFLOXACIN OPHTHALMIC,1.0,133.0,147.0,163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d04708,ZOLEDRONIC ACID,1.0,358.0,409.0,217.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,409.0,217.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,BONE RESORPTION INHIBITORS,BISPHOSPHONATES,,,,,,,,,,METABOLIC AGENTS,BONE RESORPTION INHIBITORS,BISPHOSPHONATES,,,,,,,,,,,,,,,
d04711,CANDESARTAN; HYDROCHLOROTHIAZIDE,2.0,40.0,55.0,473.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,49.0,156.0,40.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ANGIOTENSIN II INHIBITORS WITH THIAZIDES,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,CARDIOVASCULAR AGENTS,ANGIOTENSIN II INHIBITORS,,,,,,,,,,,,,
d04717,LOPINAVIR; RITONAVIR,2.0,1.0,7.0,175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,,,,,,
d04721,ESTRADIOL; MEDROXYPROGESTERONE,2.0,97.0,101.0,102.0,97.0,101.0,186.0,nan,nan,nan,nan,nan,nan,20.0,24.0,nan,97.0,101.0,102.0,97.0,101.0,183.0,97.0,101.0,185.0,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,HORMONES/HORMONE MODIFIERS,SEX HORMONES,SEX HORMONE COMBINATIONS,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,
d04722,DICLOFENAC TOPICAL,1.0,133.0,136.0,448.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,136.0,448.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL NON-STEROIDAL ANTI-INFLAMMATORIES,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL NON-STEROIDAL ANTI-INFLAMMATORIES,,,,,,,,,,,,,,,
d04725,IRON SUCROSE,1.0,115.0,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115.0,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NUTRITIONAL PRODUCTS,IRON PRODUCTS,,,,,,,,,,,NUTRITIONAL PRODUCTS,IRON PRODUCTS,,,,,,,,,,,,,,,,
d04727,ABACAVIR; LAMIVUDINE; ZIDOVUDINE,2.0,1.0,7.0,327.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL COMBINATIONS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NRTIS,,,,,,,,,,,,,,,
